repeat,seed,n_test,event_rate_test,roc_auc,pr_auc,brier,acc
0,42,33,0.45454545454545453,0.8555555555555556,0.8076644651644651,0.17744247830111223,0.8181818181818182
1,43,33,0.45454545454545453,0.5259259259259259,0.4904756510832362,0.3009106029155657,0.48484848484848486
2,44,33,0.45454545454545453,0.6666666666666667,0.6353395740062406,0.2575491136455027,0.6666666666666666
3,45,33,0.45454545454545453,0.5407407407407407,0.5151693545457847,0.30418204484176165,0.5757575757575758
4,46,33,0.45454545454545453,0.5925925925925927,0.5244280991277559,0.2686938272252164,0.5454545454545454
5,47,33,0.45454545454545453,0.6555555555555556,0.6350620867875769,0.2419392178992758,0.6666666666666666
6,48,33,0.45454545454545453,0.6185185185185186,0.5932406738608074,0.2566875969727564,0.6060606060606061
7,49,33,0.45454545454545453,0.6333333333333333,0.6351006507364555,0.2642805890549503,0.6363636363636364
8,50,33,0.45454545454545453,0.5111111111111111,0.5193526576622552,0.3302189188510142,0.5454545454545454
9,51,33,0.45454545454545453,0.662962962962963,0.6199272592255048,0.24865399382563,0.6363636363636364
10,52,33,0.45454545454545453,0.5259259259259259,0.4824307953304697,0.3172628598877912,0.5757575757575758
11,53,33,0.45454545454545453,0.6592592592592593,0.6636746109326754,0.23748190898094243,0.5757575757575758
12,54,33,0.45454545454545453,0.6666666666666666,0.7267768256657063,0.24393438043108598,0.5757575757575758
13,55,33,0.45454545454545453,0.5925925925925926,0.5741875852905265,0.27637217891839544,0.6060606060606061
14,56,33,0.45454545454545453,0.5037037037037037,0.5204885064976342,0.31344637498811817,0.5151515151515151
15,57,33,0.45454545454545453,0.6074074074074074,0.573965879065126,0.26849728254346894,0.5757575757575758
16,58,33,0.45454545454545453,0.6037037037037037,0.6104442944990922,0.2754833674069171,0.5454545454545454
17,59,33,0.45454545454545453,0.725925925925926,0.709842898522305,0.21141225616569126,0.6666666666666666
18,60,33,0.45454545454545453,0.6074074074074074,0.5871244446526929,0.26700964676970174,0.5151515151515151
19,61,33,0.45454545454545453,0.6444444444444444,0.7102305764411028,0.22859220701801916,0.5454545454545454
20,62,33,0.45454545454545453,0.6962962962962964,0.7223182595328556,0.22759816466904498,0.6060606060606061
21,63,33,0.45454545454545453,0.6703703703703703,0.6972300939477352,0.23814383178574405,0.6363636363636364
22,64,33,0.45454545454545453,0.7185185185185186,0.7243278687862975,0.20460668787571637,0.696969696969697
23,65,33,0.45454545454545453,0.6851851851851852,0.6177904608387064,0.23163559866531339,0.696969696969697
24,66,33,0.45454545454545453,0.662962962962963,0.633027312854294,0.22654128400607204,0.6363636363636364
25,67,33,0.45454545454545453,0.5148148148148148,0.4714978368716064,0.3265969789253199,0.5151515151515151
26,68,33,0.45454545454545453,0.8,0.8446139001380937,0.17234888013285438,0.7878787878787878
27,69,33,0.45454545454545453,0.662962962962963,0.6277316323426381,0.23731860947042321,0.6363636363636364
28,70,33,0.45454545454545453,0.7333333333333334,0.6631855580752015,0.21054981221671454,0.6666666666666666
29,71,33,0.45454545454545453,0.5740740740740741,0.5285683995492965,0.27690999573758085,0.5454545454545454
30,72,33,0.45454545454545453,0.674074074074074,0.6008827092447782,0.29720621123522106,0.6060606060606061
31,73,33,0.45454545454545453,0.5481481481481482,0.5240015846119851,0.28416192899273957,0.6363636363636364
32,74,33,0.45454545454545453,0.7074074074074075,0.7367512531328321,0.21073653859370306,0.6060606060606061
33,75,33,0.45454545454545453,0.7518518518518519,0.7487650455345556,0.20348077381310314,0.6666666666666666
34,76,33,0.45454545454545453,0.611111111111111,0.6090987660637762,0.2778198989544559,0.5757575757575758
35,77,33,0.45454545454545453,0.6185185185185185,0.6209766354291526,0.23962396714528564,0.5757575757575758
36,78,33,0.45454545454545453,0.6777777777777778,0.7206052119221,0.219046122809413,0.6363636363636364
37,79,33,0.45454545454545453,0.6185185185185186,0.6239986854390879,0.26434710767837843,0.6060606060606061
38,80,33,0.45454545454545453,0.6000000000000001,0.628542197875215,0.27220128912553765,0.5757575757575758
39,81,33,0.45454545454545453,0.5111111111111111,0.5394003384865453,0.30060399946348115,0.5757575757575758
40,82,33,0.45454545454545453,0.6407407407407407,0.6774479980393959,0.24482812289058617,0.6666666666666666
41,83,33,0.45454545454545453,0.5962962962962963,0.6544832643202209,0.27061896248028366,0.5454545454545454
42,84,33,0.45454545454545453,0.6074074074074074,0.5123509563737267,0.26148537961379026,0.6363636363636364
43,85,33,0.45454545454545453,0.6962962962962962,0.6400433562538825,0.21987643399118972,0.6363636363636364
44,86,33,0.45454545454545453,0.6111111111111112,0.6298512597283945,0.24471544635969478,0.5757575757575758
45,87,33,0.45454545454545453,0.47777777777777775,0.5366371461239636,0.29400396011722013,0.5757575757575758
46,88,33,0.45454545454545453,0.6666666666666667,0.6489276977847669,0.23678178602910588,0.6363636363636364
47,89,33,0.45454545454545453,0.6111111111111112,0.6049091929762836,0.2815852195559032,0.5757575757575758
48,90,33,0.45454545454545453,0.5111111111111111,0.6002610320713769,0.271942426765642,0.5757575757575758
49,91,33,0.45454545454545453,0.6444444444444445,0.6398140131473464,0.242537863997287,0.6363636363636364
